id;guideword;hazard;detailed_scenario;hazardous_event;severity;severity_rationale
40;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A parked truck suddenly pulls out into the ego vehicle's lane""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the truck""";S2; The severity of the hazardous event is predicted as S2 as the CAEM's failure to produce a lateral motion request could lead to a collision with the truck. Given the potential impact speed and the size of the truck, this could result in severe and life-threatening injuries to the driver or passengers of the ego vehicle, as well as to the driver of the truck. However, survival is probable as the accident does not involve a high-speed collision or a stationary object.
41;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A motorbike traveling in the same direction suddenly slows down""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the motorbike""";S2; The hazardous event involves a failure of the CAEM to produce a lateral motion request, which could potentially lead to a collision with a motorbike. Given the vulnerability of motorbike riders and the potential for severe and life-threatening injuries even at low speeds, the severity is predicted as S2. The impact speed is not specified but considering the usual speed limits for motorbikes and the nature of the failure, a collision could occur at a significant speed. Therefore, the severity is high due to the potential for severe injuries to the motorbike rider.
42;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Encountering a cross intersection with traffic signals on a straight road with bus and bike lanes, a pedestrian crosses the road when the signal is red for them""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision, leading to potential collision with the pedestrian""";S2; The severity of the potential harm in this hazardous event is classified as S2 because the failure of CAEM to produce a lateral motion request could lead to a collision with a pedestrian. This could result in severe and life-threatening injuries, especially considering the vulnerability of the pedestrian. The impact speed, which is a critical factor in determining the severity, would depend on the scenario and the maximum allowed speed of the vehicle. However, given the potential for a direct impact with an unprotected road user, the severity is predicted to be high.
43;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Encountering a cross intersection with traffic signals on a straight road with bus and bike lanes, a bus suddenly stops in the bus lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision, leading to potential rear-end collision with the bus""";S2; The severity of the hazardous event is predicted as S2, as the scenario involves a potential rear-end collision with a bus due to the failure of CAEM to produce a lateral motion request. This could lead to severe and life-threatening injuries, although survival is probable. The impact speed, which is a crucial factor in determining the severity, is expected to be low to medium given the nature of the event. The severity is further justified as the persons involved could include the driver and passengers of the ego vehicle and potentially the passengers of the bus.
44;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Encountering a cross intersection with traffic signals on a straight road with bus and bike lanes, a cyclist swerves into the main road from the bike lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision, leading to potential collision with the cyclist""";S2; The CAEM's failure to produce a lateral motion request could result in a collision with a cyclist, which is considered a hazardous event involving an unprotected road user. Given the potential impact speed and the vulnerability of the cyclist, the severity of harm could be severe and life-threatening, although survival is probable, hence the severity value is S2.
45;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Encountering a cross intersection with traffic signals on a straight road with bus and bike lanes, a car coming from the opposite direction makes a sudden turn""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision, leading to potential head-on collision with the car""";S3; The severity of the hazardous event is predicted as S3, as the failure of CAEM to produce a lateral motion request could lead to a head-on collision with another car. This situation could result in life-threatening injuries or even fatal injuries due to the high impact speed and direct impact to the passenger compartment, which aligns with the examples provided for S3 severity class.
46;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Encountering a cross intersection with traffic signals on a straight road with bus and bike lanes, a heavy object falls from a truck in front""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision, leading to potential collision with the heavy object""";S2; The severity of the potential harm in this hazardous event is predicted as S2, considering that the CAEM's failure to produce a necessary lateral motion request could lead to a collision with a heavy object. This could result in severe and life-threatening injuries to the driver or passengers of the ego vehicle, as well as to any unprotected road users nearby. The impact speed, which is a crucial factor in predicting severity, could be high due to the inability of the CAEM to avoid the collision. Therefore, the severity is estimated to be S2, indicating a high level of harm.
47;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight multi-lane road that transitions into a bridge with solid line markings and pedestrian sidewalks, a pedestrian suddenly steps onto the road from the sidewalk""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian""";S2;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian"" is predicted as S2 which indicates severe and life-threatening injuries (survival probable). This is because the failure of CAEM to produce a lateral motion request implies that the vehicle would not be able to avoid a collision with an unprotected road user - a pedestrian. Given the potential high impact speed, the pedestrian could suffer severe injuries. However, survival is probable as it's assumed that immediate medical attention would be provided."
48;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight multi-lane road that transitions into a bridge with solid line markings and pedestrian sidewalks, a car from the opposite lane suddenly swerves into the ego vehicle's lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the swerving car""";S2;The CAEM's failure to produce a lateral motion request to avoid a collision with a swerving car could result in a side impact or rear/front collision with the other vehicle. Given the unpredictable nature of the swerving car, the impact speed could be low to medium. This could lead to severe and life-threatening injuries to the driver or passengers of both vehicles, as well as any unprotected road users nearby. However, with immediate medical attention, survival is probable, hence the severity is classified as S2.
49;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight multi-lane road that transitions into a bridge with solid line markings and pedestrian sidewalks, a truck ahead of the ego vehicle suddenly stops""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the stopped truck""";S2; The severity of the hazardous event is predicted as S2 because the CAEM's failure to produce a lateral motion request when necessary to avoid a collision with a stopped truck could lead to a front collision with the truck at a potentially low to medium speed, depending on the ego vehicle's speed. This could result in severe and life-threatening injuries to the driver or passengers of the ego vehicle, as well as potential harm to the driver of the truck, especially if the impact causes passenger compartment deformation. The severity is not predicted as S3 because the survival is still probable given the described scenario.
50;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight multi-lane road that transitions into a bridge with solid line markings and pedestrian sidewalks, a cyclist from the sidewalk suddenly enters the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the cyclist""";S2; The CAEM's failure to produce a lateral motion request to avoid a collision with a cyclist could lead to severe and life-threatening injuries, as the cyclist is an unprotected road user. The impact speed, depending on the scenario and max allowed speed of the vehicles, could be significant, further increasing the potential severity of the accident.
51;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Vehicle entering a roundabout with a pedestrian crossing the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into a pedestrian crossing the road""";S3; The severity of the hazardous event is predicted as S3 due to the vehicle swerving into a pedestrian. Considering the impact speed and the fact that the pedestrian is an unprotected road user, the potential harm is life-threatening with survival uncertain, hence the severity class S3.
