id;guideword;hazard;detailed_scenario;hazardous_event;severity;severity_rationale
11;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Urban street with light traffic and no pedestrians;CAEM produces a lateral motion request causing the vehicle to swerve towards the curb;S0;The severity of the hazardous event is predicted to be S0 as the CAEM-induced lateral motion request causes the vehicle to swerve into an empty lane where there is no hazardous collision object. This implies that there is no collision or rollover, hence no injuries are expected.
12;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight highway with clear lane markings and no obstacles;CAEM produces a lateral motion request causing the vehicle to change lanes unnecessarily;S0; The severity of the hazardous event is S0 because the CAEM-induced lane change occurs without any nearby hazardous collision objects, implying no collision or injuries.
13;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a pedestrian crossing with no pedestrians in sight;CAEM produces a lateral motion request causing the vehicle to swerve into an empty adjacent lane;S0; The severity is S0 as the lateral motion request causes the vehicle to swerve into an adjacent lane without pedestrians or other vehicles, leading to no injuries or collisions.
14;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a wide curve on a rural road with clear visibility and no traffic;CAEM produces a lateral motion request causing the vehicle to move slightly to the shoulder;S0; The severity is S0 because the vehicle's slight movement towards the shoulder occurs without any hazardous collision objects present, resulting in no injuries or collisions.
15;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through a tunnel with multiple lanes and no traffic;CAEM produces a lateral motion request causing the vehicle to change lanes unnecessarily;S0; The severity is S0 as the lane change happens in an empty tunnel without other vehicles or obstacles, resulting in no injuries or collisions.
16;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a deserted roundabout on a quiet road;CAEM produces a lateral motion request causing the vehicle to deviate slightly within its lane;S0; The severity is S0 because the deviation within the lane does not result in a collision or injury, as there are no other vehicles or obstacles present.
17;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight road with clear visibility and no traffic;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any nearby hazards, resulting in no collisions or injuries.
18;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a wide urban street with parked cars and no moving traffic;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision with parked cars or any other injuries.
19;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a rural road with clear visibility and no other vehicles;CAEM produces a lateral motion request causing the vehicle to move slightly towards the shoulder;S0; The severity is S0 as the vehicle's slight movement towards the shoulder occurs without any hazards, resulting in no collisions or injuries.
20;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on an empty multi-lane highway;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 because the lane change occurs on an empty highway without any other vehicles or obstacles, resulting in no injuries or collisions.
21;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight road with no traffic and clear lane markings;CAEM produces a lateral motion request causing the vehicle to swerve slightly;S0; The severity is S0 as the slight swerve happens without any hazards, leading to no collisions or injuries.
22;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching an empty intersection with clear visibility;CAEM produces a lateral motion request causing the vehicle to deviate slightly within its lane;S0; The severity is S0 because the deviation within the lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
23;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through a residential area with no traffic and clear visibility;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
24;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a wide, empty road with no traffic;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 as the lane change happens on an empty road without other vehicles or obstacles, resulting in no injuries or collisions.
25;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a deserted pedestrian crossing on a straight road;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision or injury, as there are no other vehicles or obstacles present.
26;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight rural road with no other vehicles;CAEM produces a lateral motion request causing the vehicle to move slightly towards the shoulder;S0; The severity is S0 as the vehicle's slight movement towards the shoulder occurs without any hazards, leading to no collisions or injuries.
27;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a gentle curve on an empty highway;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any nearby hazards, resulting in no collisions or injuries.
28;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on an empty multi-lane road with clear visibility;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 as the lane change happens without any hazards, leading to no collisions or injuries.
29;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching an empty intersection on a straight road;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
30;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight road with no traffic and clear lane markings;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
31;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through an empty parking lot with clear lane markings;CAEM produces a lateral motion request causing the vehicle to swerve slightly;S0; The severity is S0 as the slight swerve happens without any hazards, leading to no collisions or injuries.
32;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a deserted roundabout on a rural road;CAEM produces a lateral motion request causing the vehicle to deviate slightly within its lane;S0; The severity is S0 because the deviation within the lane does not result in a collision or injury, as there are no other vehicles or obstacles present.
33;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight highway with clear lane markings and no traffic;CAEM produces a lateral motion request causing the vehicle to move slightly to the shoulder;S0; The severity is S0 since the slight movement towards the shoulder occurs without any hazards, leading to no collisions or injuries.
34;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a wide curve on an empty rural road;CAEM produces a lateral motion request causing the vehicle to change lanes unnecessarily;S0; The severity is S0 as the lane change occurs without any nearby hazardous collision objects, leading to no collisions or injuries.
35;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a pedestrian crossing with no pedestrians in sight;CAEM produces a lateral motion request causing the vehicle to swerve into an adjacent lane;S0; The severity is S0 as the lateral motion request causes the vehicle to swerve into an adjacent lane without pedestrians or other vehicles, leading to no collisions or injuries.
36;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through a tunnel with multiple lanes and no traffic;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
37;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a rural road with clear visibility and no other vehicles;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 as the lane change happens on an empty road without other vehicles or obstacles, resulting in no injuries or collisions.
38;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching an empty intersection with clear visibility;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
39;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight rural road with no other vehicles;CAEM produces a lateral motion request causing the vehicle to move slightly towards the shoulder;S0; The severity is S0 as the vehicle's slight movement towards the shoulder occurs without any hazards, leading to no collisions or injuries.
40;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a gentle curve on an empty highway;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any nearby hazards, resulting in no collisions or injuries.
41;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on an empty multi-lane road with clear visibility;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 as the lane change happens without any hazards, leading to no collisions or injuries.
42;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching an empty intersection on a straight road;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
43;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight road with no traffic and clear lane markings;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
44;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through an empty parking lot with clear lane markings;CAEM produces a lateral motion request causing the vehicle to swerve slightly;S0; The severity is S0 as the slight swerve happens without any hazards, leading to no collisions or injuries.
45;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a deserted roundabout on a rural road;CAEM produces a lateral motion request causing the vehicle to deviate slightly within its lane;S0; The severity is S0 because the deviation within the lane does not result in a collision or injury, as there are no other vehicles or obstacles present.
46;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight highway with clear lane markings and no traffic;CAEM produces a lateral motion request causing the vehicle to move slightly to the shoulder;S0; The severity is S0 since the slight movement towards the shoulder occurs without any hazards, leading to no collisions or injuries.
47;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a wide curve on an empty rural road;CAEM produces a lateral motion request causing the vehicle to change lanes unnecessarily;S0; The severity is S0 as the lane change occurs without any nearby hazardous collision objects, leading to no collisions or injuries.
48;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a pedestrian crossing with no pedestrians in sight;CAEM produces a lateral motion request causing the vehicle to swerve into an adjacent lane;S0; The severity is S0 as the lateral motion request causes the vehicle to swerve into an adjacent lane without pedestrians or other vehicles, leading to no collisions or injuries.
49;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through a tunnel with multiple lanes and no traffic;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
50;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a rural road with clear visibility and no other vehicles;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 as the lane change happens on an empty road without other vehicles or obstacles, resulting in no injuries or collisions.
51;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching an empty intersection with clear visibility;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
52;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight rural road with no other vehicles;CAEM produces a lateral motion request causing the vehicle to move slightly towards the shoulder;S0; The severity is S0 as the vehicle's slight movement towards the shoulder occurs without any hazards, leading to no collisions or injuries.
53;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a gentle curve on an empty highway;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any nearby hazards, resulting in no collisions or injuries.
54;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on an empty multi-lane road with clear visibility;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 as the lane change happens without any hazards, leading to no collisions or injuries.
55;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching an empty intersection on a straight road;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
56;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight road with no traffic and clear lane markings;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
57;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through an empty parking lot with clear lane markings;CAEM produces a lateral motion request causing the vehicle to swerve slightly;S0; The severity is S0 as the slight swerve happens without any hazards, leading to no collisions or injuries.
58;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a deserted roundabout on a rural road;CAEM produces a lateral motion request causing the vehicle to deviate slightly within its lane;S0; The severity is S0 because the deviation within the lane does not result in a collision or injury, as there are no other vehicles or obstacles present.
59;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight highway with clear lane markings and no traffic;CAEM produces a lateral motion request causing the vehicle to move slightly to the shoulder;S0; The severity is S0 since the slight movement towards the shoulder occurs without any hazards, leading to no collisions or injuries.
60;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a wide curve on an empty rural road;CAEM produces a lateral motion request causing the vehicle to change lanes unnecessarily;S0; The severity is S0 as the lane change occurs without any nearby hazardous collision objects, leading to no collisions or injuries.
61;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a pedestrian crossing with no pedestrians in sight;CAEM produces a lateral motion request causing the vehicle to swerve into an adjacent lane;S0; The severity is S0 as the lateral motion request causes the vehicle to swerve into an adjacent lane without pedestrians or other vehicles, leading to no collisions or injuries.
62;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through a tunnel with multiple lanes and no traffic;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
63;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a rural road with clear visibility and no other vehicles;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 as the lane change happens on an empty road without other vehicles or obstacles, resulting in no injuries or collisions.
64;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching an empty intersection with clear visibility;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
65;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight rural road with no other vehicles;CAEM produces a lateral motion request causing the vehicle to move slightly towards the shoulder;S0; The severity is S0 as the vehicle's slight movement towards the shoulder occurs without any hazards, leading to no collisions or injuries.
66;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a gentle curve on an empty highway;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any nearby hazards, resulting in no collisions or injuries.
67;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on an empty multi-lane road with clear visibility;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 as the lane change happens without any hazards, leading to no collisions or injuries.
68;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching an empty intersection on a straight road;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
69;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight road with no traffic and clear lane markings;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
70;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through an empty parking lot with clear lane markings;CAEM produces a lateral motion request causing the vehicle to swerve slightly;S0; The severity is S0 as the slight swerve happens without any hazards, leading to no collisions or injuries.
71;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a deserted roundabout on a rural road;CAEM produces a lateral motion request causing the vehicle to deviate slightly within its lane;S0; The severity is S0 because the deviation within the lane does not result in a collision or injury, as there are no other vehicles or obstacles present.
72;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight highway with clear lane markings and no traffic;CAEM produces a lateral motion request causing the vehicle to move slightly to the shoulder;S0; The severity is S0 since the slight movement towards the shoulder occurs without any hazards, leading to no collisions or injuries.
73;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a wide curve on an empty rural road;CAEM produces a lateral motion request causing the vehicle to change lanes unnecessarily;S0; The severity is S0 as the lane change occurs without any nearby hazardous collision objects, leading to no collisions or injuries.
74;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching a pedestrian crossing with no pedestrians in sight;CAEM produces a lateral motion request causing the vehicle to swerve into an adjacent lane;S0; The severity is S0 as the lateral motion request causes the vehicle to swerve into an adjacent lane without pedestrians or other vehicles, leading to no collisions or injuries.
75;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through a tunnel with multiple lanes and no traffic;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
76;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a rural road with clear visibility and no other vehicles;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 as the lane change happens on an empty road without other vehicles or obstacles, resulting in no injuries or collisions.
77;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching an empty intersection with clear visibility;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
78;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight rural road with no other vehicles;CAEM produces a lateral motion request causing the vehicle to move slightly towards the shoulder;S0; The severity is S0 as the vehicle's slight movement towards the shoulder occurs without any hazards, leading to no collisions or injuries.
79;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Navigating a gentle curve on an empty highway;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any nearby hazards, resulting in no collisions or injuries.
80;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on an empty multi-lane road with clear visibility;CAEM produces a lateral motion request causing the vehicle to change lanes;S0; The severity is S0 as the lane change happens without any hazards, leading to no collisions or injuries.
81;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Approaching an empty intersection on a straight road;CAEM produces a lateral motion request causing the vehicle to swerve slightly within its lane;S0; The severity is S0 because the vehicle's slight swerve within its lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
82;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving on a straight road with no traffic and clear lane markings;CAEM produces a lateral motion request causing the vehicle to move slightly to the left;S0; The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
83;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Driving through an empty parking lot with clear lane markings;CAEM produces a lateral motion request causing the vehicle to swerve slightly;S0; The severity is S0 as the slight swerve happens without any hazards, leading to no collisions or injuries.
84;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving in a school zone during summer break with no children or vehicles present""";"""CAEM produces a lateral motion request causing the vehicle to move towards the sidewalk""";S0;The severity is S0 as the lateral motion towards the sidewalk occurs without any hazards, leading to no collisions or injuries.
85;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a suburban street early in the morning with no other vehicles""";"""CAEM produces a lateral motion request causing the vehicle to change lanes""";S0;The severity is S0 as the lane change happens without any hazards, leading to no collisions or injuries.
86;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a deserted roundabout late at night""";"""CAEM produces a lateral motion request causing the vehicle to move slightly within its lane""";S0;The severity is S0 because the vehicle's slight movement within its lane does not result in a collision or injury, given the absence of other vehicles or obstacles.
87;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving through an empty parking garage with clear lane markings""";"""CAEM produces a lateral motion request causing the vehicle to swerve slightly""";S0;The severity is S0 as the slight swerve happens without any hazards, leading to no collisions or injuries.
88;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a rural road with no traffic and clear visibility""";"""CAEM produces a lateral motion request causing the vehicle to move slightly towards the shoulder""";S0;The severity is S0 as the vehicle's slight movement towards the shoulder occurs without any hazards, leading to no collisions or injuries.
89;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Navigating a wide curve on an empty highway""";"""CAEM produces a lateral motion request causing the vehicle to change lanes unnecessarily""";S0;The severity is S0 as the lane change occurs without any nearby hazardous collision objects, leading to no collisions or injuries.
90;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a straight road with no other vehicles and clear lane markings""";"""CAEM produces a lateral motion request causing the vehicle to move slightly to the left""";S0;The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
91;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving through a residential area with no pedestrians or vehicles""";"""CAEM produces a lateral motion request causing the vehicle to swerve into an empty lane""";S0;The severity is S0 as the swerve into an empty lane happens without any hazards, leading to no collisions or injuries.
92;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving through an industrial area with no other road users""";"""CAEM produces a lateral motion request causing the vehicle to move slightly towards the curb""";S0;The severity is S0 as the slight movement towards the curb occurs without any hazards, leading to no collisions or injuries.
93;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a highway with clear lane markings and no traffic""";"""CAEM produces a lateral motion request causing the vehicle to change lanes unnecessarily""";S0;The severity is S0 because the lane change happens without any hazards, leading to no collisions or injuries.
94;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on an empty road with no obstacles or traffic""";"""CAEM produces a lateral motion request causing the vehicle to move slightly to the right""";S0;The severity is S0 since the slight movement to the right occurs without any hazards, leading to no collisions or injuries.
95;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a pedestrian crossing with no pedestrians or vehicles""";"""CAEM produces a lateral motion request causing the vehicle to swerve into an adjacent empty lane""";S0;The severity is S0 as the lateral motion request causes the vehicle to swerve into an adjacent lane without any hazards, leading to no collisions or injuries.
96;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on an empty multi-lane road with clear visibility""";"""CAEM produces a lateral motion request causing the vehicle to change lanes""";S0;The severity is S0 as the lane change happens without any hazards, leading to no collisions or injuries.
97;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a rural road with clear visibility and no other vehicles""";"""CAEM produces a lateral motion request causing the vehicle to move slightly to the left""";S0;The severity is S0 since the slight movement to the left occurs without any hazards, leading to no collisions or injuries.
